date,code,open,close,high,low,volume,amount,turn,pbMRQ,pctChg
2018-10-17,sh.601601,34.0000,33.2600,34.5900,33.0000,19881358,669516265.0000,0.316245,2.170265,-1.100216
2018-10-18,sh.601601,33.1500,32.1000,33.5500,32.0600,19569435,640812486.0000,0.311283,2.094574,-3.487673
2018-10-19,sh.601601,32.0000,34.7500,34.9900,31.6000,36976666,1236222305.0000,0.588173,2.267490,8.255457
2018-10-22,sh.601601,35.3000,36.1400,37.3000,35.3000,42879961,1549415493.0000,0.682074,2.358190,3.999998
2018-10-23,sh.601601,35.8000,35.4500,36.8000,34.9000,27105487,974467701.0000,0.431156,2.313166,-1.909238
2018-10-24,sh.601601,35.5900,35.8000,36.5700,34.9800,28005639,1008065079.0000,0.445474,2.336004,0.987302
2018-10-25,sh.601601,34.8600,36.9800,36.9800,34.8000,26997695,967464304.0000,0.429441,2.413001,3.296090
2018-10-26,sh.601601,36.5600,35.9000,36.8000,34.8000,29673375,1057726273.0000,0.472002,2.342529,-2.920492
2018-10-29,sh.601601,36.1800,33.5100,36.1800,33.2300,30936407,1060595852.0000,0.492093,2.123609,-6.657390
2018-10-30,sh.601601,33.2900,33.6200,34.5500,32.4100,28213758,950105432.0000,0.448785,2.130580,0.328262
2018-10-31,sh.601601,33.7500,33.6600,33.9900,32.7000,22278501,743950590.0000,0.354375,2.133115,0.118980
2018-11-01,sh.601601,33.9000,33.7500,34.5100,33.3300,29362875,997085669.0000,0.467063,2.138819,0.267380
2018-11-02,sh.601601,34.8500,35.5900,35.7300,34.2200,36934770,1289240333.0000,0.587506,2.255424,5.451852
2018-11-05,sh.601601,35.1000,34.8300,35.4000,34.2100,25349748,879357928.0000,0.403228,2.207261,-2.135427
2018-11-06,sh.601601,34.6400,34.1500,34.6400,33.7500,20014608,681662080.0000,0.318364,2.164168,-1.952341
2018-11-07,sh.601601,34.3500,33.9900,34.6000,33.8800,19062099,652798826.0000,0.303213,2.154028,-0.468521
2018-11-08,sh.601601,34.4300,33.9700,34.5700,33.8800,16266315,556365990.0000,0.258742,2.152760,-0.058842
2018-11-09,sh.601601,33.6800,33.0000,33.9700,33.0000,24395406,810530004.0000,0.388048,2.091289,-2.855464
2018-11-12,sh.601601,33.0000,32.5700,33.0000,31.8100,44301013,1430214949.0000,0.704678,2.064039,-1.303031
2018-11-13,sh.601601,32.0000,32.6900,32.9700,31.9100,31900493,1035911038.0000,0.507428,2.071644,0.368434
2018-11-14,sh.601601,32.6700,32.0800,32.7100,31.9800,33354055,1072592806.0000,0.530549,2.032987,-1.866004
2018-11-15,sh.601601,32.1600,32.9600,32.9700,32.0900,29355635,955046608.0000,0.466948,2.088754,2.743133
2018-11-16,sh.601601,32.9600,32.8000,33.3500,32.5000,29753936,980381828.0000,0.473284,2.078615,-0.485436
2018-11-19,sh.601601,32.9500,32.9800,33.2400,32.5500,23651037,778588877.0000,0.376208,2.090022,0.548781
2018-11-20,sh.601601,32.7500,32.0500,32.7500,31.9600,29489911,951919796.0000,0.469084,2.031085,-2.819892
2018-11-21,sh.601601,31.7300,32.0600,32.2200,31.6000,15909763,509584933.0000,0.253070,2.031719,0.031208
2018-11-22,sh.601601,32.2000,31.5800,32.2300,31.4600,25301633,801480564.0000,0.402463,2.001300,-1.497197
2018-11-23,sh.601601,31.5300,31.2500,31.9000,31.1100,21815625,685026910.0000,0.347012,1.980388,-1.044965
2018-11-26,sh.601601,31.3100,31.2800,31.6500,31.0900,16765828,524886627.0000,0.266687,1.982289,0.096002
2018-11-27,sh.601601,31.3000,31.2300,31.5600,31.1100,14416874,450815090.0000,0.229323,1.979120,-0.159850
2018-11-28,sh.601601,31.2400,31.5300,31.6300,31.1100,16051487,504565419.0000,0.255325,1.998132,0.960618
2018-11-29,sh.601601,31.7100,31.2500,31.8000,31.2400,21013627,661220733.0000,0.334255,1.980388,-0.888045
2018-11-30,sh.601601,31.1400,31.3900,31.5000,31.1300,13097004,410443717.0000,0.208329,1.989260,0.447998
2018-12-03,sh.601601,32.1500,32.3300,32.5000,31.8500,33312634,1073801381.0000,0.529891,2.048830,2.994592
2018-12-04,sh.601601,32.3200,32.0100,32.3200,31.7600,19302751,616712492.0000,0.307041,2.028551,-0.989804
2018-12-05,sh.601601,31.5300,31.4800,31.7900,31.3100,18433240,580985197.0000,0.293210,1.994963,-1.655729
2018-12-06,sh.601601,31.0800,30.8700,31.2500,30.8600,20791923,646121814.0000,0.330729,1.956306,-1.937734
2018-12-07,sh.601601,30.9000,30.6000,31.1000,30.4700,19111220,587676329.0000,0.303994,1.939196,-0.874637
2018-12-10,sh.601601,30.2600,29.6700,30.4500,29.4200,26700756,796961900.0000,0.424718,1.880259,-3.039217
2018-12-11,sh.601601,29.7100,30.0900,30.0900,29.6700,12804873,382270036.0000,0.203682,1.906876,1.415572
